Package Name,Reviewer name,Review,Rating
com.tortel.syslog,DAVID TAYLOR,Adjust system settings,5
com.tortel.syslog,J Hall,I hope this isn't my sys log file being shown publicly,1
com.tortel.syslog,Jesse Feagins,Was great,5
com.tortel.syslog,Gagang Decena,Hahahah,1
com.tortel.syslog,James Rudd,So far so good,5
com.tortel.syslog,Allan R. Pearson,Sneaky,5
com.tortel.syslog,Unknow0059,Works.,5
com.tortel.syslog,Louis Warren,It showed me I have a breach,5
com.tortel.syslog,Linux Tuxvolds,Great for getting system logs!,5
com.tortel.syslog,Alicia Burdue,What is this intended to do? It seems like it is keeping track of my every move on 4 device. Spyware in disguise??? Yep.,1
com.tortel.syslog,Hannah Launuus,Can't get it to work,4
com.tortel.syslog,sam mas,This is exactly what I've been looking for! Thanks!,5
com.tortel.syslog,ᗯҼ ԵՀҼ ҜÍᑎՑꌚ'ꌃꀷ,Awesome,5
com.tortel.syslog,Federico Calzoni,Works on OnePlus 6 (Other logcats don't work on this device). It would be nice if in logcat live mode it was possible to filter the contents,4
com.tortel.syslog,T95 MAX,Works as described,5
com.tortel.syslog,Prez Maroto,for safety of my phone,5
com.tortel.syslog,Lindsey Ray,Meh,3
com.tortel.syslog,Have gone going Somewhere,"Uhm, I can't see wrong in this app, this app really work (for rooted device) I use this app to see if my app (does rooted app I also use) does it really running perfectly and I see no wrong, and everything on ""live log"" shows what I opened so, just you really need root, though it's 2020, I still use root on my Android 9 phone for costume ROM, root apps and some CPU/GPU tweaks",5
com.tortel.syslog,Martin Henry,Someone installed it on my phone that has my phone number which is my ex-girlfriend but she's using a computer to do it with she's got stuff all over my phone so your protection Google and Facebook has no good protection whatsoever,1
com.tortel.syslog,W B,People that complain about this app go read why he even created this app pretty much to help you find the hidden key logger on most phones called carrier iQ and it finds those files no problem so it gets a five stars from me cause those files are very hard to find and hard to remove cause there tracking everything you do so thank you Mark Warner.,5
com.tortel.syslog,James States,1 .,5
com.tortel.syslog,Jonathan Statham,A+++,5
com.tortel.syslog,Mark Gassen,"Accidentally told it to share logs wih other devices, which did not work. Never again would it allow me to upload logfiles to google drive or use email. Even after reinstalling.",1
com.tortel.syslog,Jerry apled Santiago,Its kind a weird somethimes,4
com.tortel.syslog,Sadhu Mahendra,Nice,4
com.tortel.syslog,Lemmor Benigno,Great and thankfull this application no log my unit,4
com.tortel.syslog,Hommer Homme,exelent,5
com.tortel.syslog,jim rudd,It kicks €¢¥€¢€¶ you know Yes,5
com.tortel.syslog,WISE Gentleman,Poorest,1
com.tortel.syslog,LCdhQOOLRTSA MSAiSLAmMSI2RB,NCreators,5
com.tortel.syslog,Mark Richardson,I used this app many years ago to debug something. Now I am using it again. A++++,5
com.tortel.syslog,mind alien,"the things it does, it does them reliable & good.",5
com.tortel.syslog,David Pineda,"WHY ARE PEOPLE COMPLAINING ABOUT ROOT?? Seriously, didnt you know that accessing / partition requires root? Why give the developer no stars for that? If you could use this app without rooting your phone that means that essentially you could run a command on your phone that bricks it. Seriously, read a bit before you cry about it not working.",5
com.tortel.syslog,David,This has been my favorite log app.,5
com.tortel.syslog,Mark Postel,Cool,5
com.tortel.syslog,John Dacleson,Great App,5
com.tortel.syslog,Marcin J. Wasiak,No mention of root I the description,1
com.tortel.syslog,GRUGU BOSS,oppo,5
com.tortel.syslog,Fujita mobile,1.5MB,4
com.tortel.syslog,Ramanan T,Wonderful. Thanks,5
com.tortel.syslog,Michelle Jurcales,nice apps,5
com.tortel.syslog,bongumusa ndlovu,it is helpful,5
com.tortel.syslog,J S,"App works great. if I knew how to troubleshoot the results that would be better, but that is my problem, not the app.",5
com.tortel.syslog,Matt Hamilton,Best app to get the debug logs you need.,5
com.tortel.syslog,Aamir Joseph,go dev team :) (y),5
com.tortel.syslog,Na Cl,cant give you anything other than a big THANKYOU❤️,5
com.tortel.syslog,Originalul,best log cat that i find and tryed. thanks for keep improved,5
com.tortel.syslog,Jacques Bertrand,"Use this command in ADB to grant the permission necessary for reading logs on unrooted phones: adb shell pm grant com.tortel.syslog android.permission.READ_LOGS  Thank you for this great little app making saving & sharing logs so fast & easy.  My Galaxy Galaxy S3 has ROOT & running LineageOS 14.1 which is based on Android 7.1 (Nougat).  I don't understand reviewers giving only 1 star because they can't read the description above which clearly says ""Root is required for Android 4.1+"".  It's not the app's fault if they are blind! Working great also on Galaxy S5 G900M klteub running LineageOS 15.1 (Oreo 8.1) and on Pie 9.0 (LineageOS 16.0). I used the adb permission on a NOT rooted Galaxy S5 Mini G800H running stock Samsung 6.0.1 Marshmallow & it also works fine on it.",5
com.tortel.syslog,Bezaleel UK,doesn't seem to provide any realtime view of inbound syslog messages. .. is it a syslog server or just a log extractor.?,1
com.tortel.syslog,A Google user,Works perfect. Thank you!,5
com.tortel.syslog,Dallas Reeder,Works great. Its a must have...,5
com.tortel.syslog,Vivek Rathaur,The Root thing should be written in the first line. It requires root. Or it doesn't work. UNINSTALLING.,1
com.tortel.syslog,Paul Lunardi,Allows me to capture logs and share them for troubleshooting thank you,5
com.tortel.syslog,Wyatt Dobbs,Works perfectly,5
com.tortel.syslog,Harshit Panchal,Doesn't show the live log and doesn't saving log in any file in Lenovo k8 plus,1
com.tortel.syslog,Shahab Jafri,Works great. Just use this command on ADB to grant the permission necessary for reading logs on unrooted phones:    adb shell pm grant com.tortel.syslog android.permission.READ_LOGS,5
com.tortel.syslog,Mr .X,It's the best 😍,5
com.tortel.syslog,364 555,Version2.11,4
com.tortel.syslog,S G,awesome. great for sending bug reports and helping ROM developers.,5
com.tortel.syslog,John Pellarini,Saved log files are empty - zero bytes!,1
com.tortel.syslog,Randy KE8MXD,Nothing in saved files???,1
com.tortel.syslog,prashant patil,Not a single line of logs i got...,1
com.tortel.syslog,Tom Martinez,This is for Root only.,3
com.tortel.syslog,M Dany,"scrap app,,give random logs ,,",1
com.tortel.syslog,Matthew Lyte,"Works with the READ_LOGS permission granted through ADB, but it doesn't recognize that it has the permission and keeps asking for root/not displaying live logs",4
com.tortel.syslog,Carlos Oviedo,"Amazing App, I Could delete all logs from my system",5
com.tortel.syslog,Xin Xin,Good,5
com.tortel.syslog,mar mar,Great,5
com.tortel.syslog,James Black,Live logcat way too small,2
com.tortel.syslog,Anup Mahindre,Best for its job,5
com.tortel.syslog,Pedro Santos,"It would be great if they told u where the log files go. Even better if u could tell the app where to put them. But that is too basic a question to ask, I suppose",2
com.tortel.syslog,Sr. Zé Alguém,While others apps can.,2
com.tortel.syslog,Muhammad Hijab,No Function?,3
com.tortel.syslog,Akeshwar Jha,Moto G3: No log cats are shown when I click on Live Logcat.,3
com.tortel.syslog,DïzTnT Aspïe,Misleading the idea,1
com.tortel.syslog,Buckunit,Why can't it grab my last_kmsg. M9 mm,3
com.tortel.syslog,MF Nofian,Good on,3
com.tortel.syslog,Chris B,Very handy for on the stop capturing the various system logs.  Only thing missing are Events.,5
com.tortel.syslog,Ismael Barros²,Crashes when trying to see a Live logcat,1
com.tortel.syslog,Athar Khan,"Like other log apps, this also does not have option to set a folder to save all log files.",1
com.tortel.syslog,Денис Добряков,App crashes on attempt to open Live Logs window,1
com.tortel.syslog,Vlad Alucard,"Seeing we live portable,its important to be able to take a log on the go. After trying almost all logging apps, this gives user most access and ability to take different logs.great app. Intact the best one. 5stars",5
com.tortel.syslog,satyam palai,A Must have for custom ROM users,5
com.tortel.syslog,Sergio Barbosa,The Best!,5
com.tortel.syslog,clazh h,Good stuff,5
com.tortel.syslog,A Google user,Great app.,5
com.tortel.syslog,Kunal Sethi,Works as advertised without a glitch,5
com.tortel.syslog,A Google user,Simple and effective.,5
com.tortel.syslog,Tye,Get this!! Trust Me. It's that good.,5
com.tortel.syslog,Straight Shooter,Great tool,5
com.tortel.syslog,Jon Trott,"Quick ""cheater"" way to get your log files when something's amiss with the new custom rom you're playing with....",5
com.tortel.syslog,John Cannon Jr,BRILLLLLLIANT!,5
com.tortel.syslog,Rudolf Tammekivi,Will recommend this to my ROM users.,5
com.tortel.syslog,Jesse Russell,Easiest way to grab a log!,5
com.tortel.syslog,Jay Fallen,And Very easy to use,5
com.tortel.syslog,Shriom Manerker,Very nice,5
com.tortel.syslog,Peter Hofinger,Seriously this is a  really handy app for development. I love it and every newbie on xda who isn't familiar with add should install this to provide one click logs,5
com.tortel.syslog,Navaneethakrishnan I,"It isnt asking for root permission, thus doesnt work, dev help needed",4
com.tortel.syslog,Gutto Silva,Perfect,5
com.tortel.syslog,Steve Jankiewicz,"Noobs should be required to install this before ever reporting issues with ROM's!  Thanks a lot, bro!",5
com.tortel.syslog,Oreo G,"Yet helpful, on-the-go or just in mobile. Adds in automatically zipped logs easy for sharing.",5
com.tortel.syslog,Guilherme Souza,"Fantastic app makes life a lot easier, just missing option to save to sdcard. Edit nvm",5
com.tortel.syslog,Stephen Overton,Exactly what I need for getting logs. Plus supports dropbox.,5
com.tortel.syslog,Panos Lalakos,well implemented.,5
com.tortel.syslog,Valerii Vitenko,"The majority of apps of that kind never give so much detailed information about the hidden processes not only in system, but also on kernel level.",5
com.tortel.syslog,Ronnie Tucker,Best way to report ROM error reports.,4
com.tortel.syslog,Paul W,better than lumberjack which can't get dmesg on JB.,5
com.tortel.syslog,Dory Goldberger,He fixed all the things!  Keep up the good work dev!,5
com.tortel.syslog,A Google user,Allowed me to debug my apps and OS while AFK. One click and they're in my dropbox.,5
